City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
537,San Rafael Del Sur,NI,81.57,broken clouds,11.8485,-86.4384,Hospedaje El Chino
541,Rawson,AR,64.45,clear sky,-43.3002,-65.1023,Hosteria Sampedro
542,West Bay,KY,80.08,broken clouds,19.3667,-81.4167,Calypso Cove
545,Pointe Michel,DM,86.94,few clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
546,Rocha,UY,77.41,clear sky,-34.4833,-54.3333,Hotel Arrarte
550,Mosoaia,RO,63.7,broken clouds,44.8167,24.7667,Popa's Căsuța din Povești
553,Tiquisio,CO,86.43,overcast clouds,8.5597,-74.2669,Luis Florez
554,Ipora,BR,84.54,broken clouds,-16.4419,-51.1178,Oásis Motel
556,Andros Town,BS,75.16,clear sky,24.7,-77.7667,Hanks place
559,Belmonte,BR,84.65,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
560,Ho Chi Minh City,VN,86.02,few clouds,10.75,106.6667,Windsor Plaza Hotel
561,Zambezi,ZM,76.21,light rain,-13.5432,23.1047,Royal Kutachika Lodge
563,Mandurah,AU,65.91,clear sky,-32.55,115.7,Atrium Hotel Mandurah
564,Doha,QA,71.91,clear sky,25.2867,51.5333,Movenpick Hotel Doha
565,Crailsheim,DE,66.88,clear sky,49.1344,10.0719,Drei König
568,Paredon,MX,81.34,broken clouds,16.0333,-93.8667,Hotel Principal Paredon
572,Mucuri,BR,83.35,broken clouds,-18.0864,-39.5508,La Bodeguita Pousada
577,Almunecar,ES,74.43,broken clouds,36.7339,-3.6907,Almuñécar Playa Spa Hotel
579,Caernarfon,GB,62.62,few clouds,53.1413,-4.2702,Taldrwst Farmhouse
580,Manzanillo,CU,80.82,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
583,Timbiqui,CO,74.86,overcast clouds,2.7717,-77.6654,Hotel Sharey
584,Vila Franca Do Campo,PT,64.81,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
588,Galdar,ES,75.7,overcast clouds,28.147,-15.6502,Hostel Guide
589,Cabo Rojo,PR,85.73,scattered clouds,18.0866,-67.1457,Hotel Perichi's
590,Nainpur,IN,85.51,scattered clouds,22.4333,80.1167,Railway Rest House
593,Marrakesh,MA,75.27,broken clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
595,Manadhoo,MV,83.07,few clouds,5.7667,73.3833,Bon Abri maldives
596,Ewa Beach,US,72.09,clear sky,21.3156,-158.0072,Base Lodging
597,Pringsewu,ID,73.89,moderate rain,-5.3582,104.9744,Urban Style by Front One
600,Arco,IT,75.04,clear sky,45.9177,10.8867,Hotel Campagnola
601,Elin Pelin,BG,66.02,clear sky,42.6667,23.6,Hotel Restaurant Dimoli
602,Port Hedland,AU,84.25,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
603,Yangjiang,CN,67.19,light rain,21.85,111.9667,HUALUXE Yangjiang City Center
