City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Chokurdakh,RU,70.6333,147.9167,-7.58,97,85,5.28,overcast clouds
79,Severo-Kurilsk,RU,50.6789,156.125,33.26,90,79,25.7,light snow
80,Kathu,TH,7.9178,98.3332,86.7,89,5,6.46,clear sky
81,Camacari,BR,-12.6975,-38.3242,83.97,86,84,5.7,broken clouds
82,Tiksi,RU,71.6872,128.8694,-2.99,95,100,4.32,overcast clouds
83,Yakeshi,CN,49.2833,120.7333,9.36,82,17,2.8,few clouds
84,Maniitsoq,GL,65.4167,-52.9,24.31,73,88,6.8,overcast clouds
85,Zyryanka,RU,65.75,150.85,0.61,93,79,7.31,broken clouds
86,Norman Wells,CA,65.282,-126.8329,12.94,86,100,2.46,overcast clouds
87,Ust-Maya,RU,60.4167,134.5333,2.98,99,100,2.89,overcast clouds
88,Tezu,IN,27.9167,96.1667,67.05,59,9,4.72,clear sky
89,Gijon,ES,43.5357,-5.6615,60.24,88,94,3.69,overcast clouds
90,Hasaki,JP,35.7333,140.8333,55.29,75,90,13.82,overcast clouds
91,Cabo San Lucas,MX,22.8909,-109.9124,87.62,21,40,3.44,scattered clouds
92,Henties Bay,NA,-22.116,14.2845,64.78,89,1,6.46,clear sky
93,Valladolid,ES,41.5833,-4.6667,51.3,76,98,5.93,overcast clouds
94,Atuona,PF,-9.8,-139.0333,78.91,79,60,12.66,broken clouds
95,Jalu,LY,29.0331,21.5482,61.29,23,0,10.69,clear sky
96,Jamestown,US,42.097,-79.2353,20.71,63,100,19.57,overcast clouds
97,Kavieng,PG,-2.5744,150.7967,83.66,71,82,8.63,broken clouds
98,Port Keats,AU,-14.25,129.55,81.99,80,100,0.92,overcast clouds
99,Palana,RU,59.1167,159.9667,23.4,66,100,13.85,overcast clouds
100,Lata,PT,40.1629,-8.3327,57.07,60,100,9.33,overcast clouds
101,Kantilo,IN,20.35,85.1833,75.09,81,32,2.62,scattered clouds
102,Quelimane,MZ,-17.8786,36.8883,75.63,89,96,4.61,overcast clouds
103,Hobart,AU,-42.8794,147.3294,63.27,77,0,4.61,light rain
104,Elat,IL,29.5581,34.9482,57.81,57,0,10.71,clear sky
105,Hervey Bay,AU,-25.2986,152.8535,76.01,91,55,11.01,broken clouds
106,Ekhabi,RU,53.5102,142.9671,12.63,88,100,20.0,overcast clouds
107,Zhuzhou,CN,27.8333,113.15,50.61,91,71,3.18,broken clouds
108,Athabasca,CA,54.7169,-113.2854,32.25,89,100,4.36,overcast clouds
109,Lastoursville,GA,-0.8143,12.7287,75.54,86,85,1.39,light rain
110,Quatre Cocos,MU,-20.2078,57.7625,76.08,74,10,7.4,clear sky
111,Geraldton,AU,-28.7667,114.6,72.01,83,74,12.66,broken clouds
112,Qaanaaq,GL,77.484,-69.3632,9.82,93,100,5.06,overcast clouds
113,Mantua,IT,45.1667,10.7833,47.34,72,2,1.01,clear sky
114,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.63,98,100,2.37,light rain
115,Maura,NO,60.25,11.0167,47.05,62,0,8.05,clear sky
116,Cartagena,CO,10.3997,-75.5144,82.02,74,75,13.8,broken clouds
117,Bambous Virieux,MU,-20.3428,57.7575,76.21,73,10,7.11,clear sky
