City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
319,Itaituba,20,BR,2022-03-27 18:30:37,58,-4.2761,-55.9836,91.56,4.61
320,Harper,99,LR,2022-03-27 18:34:24,82,4.375,-7.7169,81.28,7.96
321,Assiniboia,20,CA,2022-03-27 18:34:25,35,49.6334,-105.9845,35.42,12.66
322,Oriximina,100,BR,2022-03-27 18:34:25,70,-1.7656,-55.8661,84.85,1.1
323,Parrita,73,CR,2022-03-27 18:34:26,61,9.5201,-84.3225,100.26,7.25
324,Biak,100,ID,2022-03-27 18:34:26,84,-0.9131,122.8766,76.24,1.48
325,Port Augusta,89,AU,2022-03-27 18:34:27,52,-32.5,137.7667,68.76,9.89
326,Kaeo,6,NZ,2022-03-27 18:34:27,92,-35.1,173.7833,56.32,4.72
327,Tambopata,40,PE,2022-03-27 18:34:28,69,-12.7333,-69.1833,80.49,4.61
328,Panshi,0,CN,2022-03-27 18:34:28,55,42.9422,126.0561,30.76,4.61
329,Sohna,0,IN,2022-03-27 18:34:29,11,28.25,77.0667,77.23,3.09
330,Rocha,0,UY,2022-03-27 18:34:29,26,-34.4833,-54.3333,81.48,12.75
331,Novoorsk,10,RU,2022-03-27 18:29:50,95,51.381,58.9813,34.45,12.97
332,Acarau,100,BR,2022-03-27 18:34:30,78,-2.8856,-40.12,82.33,12.08
333,Yar-Sale,100,RU,2022-03-27 18:33:15,97,66.8333,70.8333,13.06,11.74
334,Ocampo,2,MX,2022-03-27 18:34:30,10,21.65,-101.5,73.94,6.4
335,Buala,100,SB,2022-03-27 18:34:31,84,-8.145,159.5921,79.0,3.38
336,Mount Vernon,100,US,2022-03-27 18:34:31,47,40.9126,-73.8371,47.16,19.57
337,Alcaniz,0,ES,2022-03-27 18:34:32,53,41.05,-0.1333,54.34,9.01
338,Hobara,34,JP,2022-03-27 18:34:32,71,37.8167,140.55,42.37,2.71
339,Matane,100,CA,2022-03-27 18:31:16,98,48.8286,-67.522,32.31,6.93
340,Miles City,0,US,2022-03-27 18:34:33,30,46.4083,-105.8406,52.77,16.11
341,North Bend,100,US,2022-03-27 18:34:33,97,43.4065,-124.2243,57.16,4.61
342,Puerto Leguizamo,100,CO,2022-03-27 18:34:34,99,-0.1934,-74.7819,72.14,0.85
343,Puerto Carreno,100,CO,2022-03-27 18:34:34,33,6.189,-67.4859,98.17,2.15
344,Ixtapa,0,MX,2022-03-27 18:34:35,61,20.7,-105.2,76.23,9.22
345,Bafoulabe,33,ML,2022-03-27 18:34:35,11,13.8065,-10.8321,100.8,4.74
346,Malartic,100,CA,2022-03-27 18:34:36,83,48.1335,-78.1328,3.31,11.86
347,Pinawa,14,CA,2022-03-27 18:34:36,51,50.1489,-95.8811,16.72,6.24
348,Sabha,0,LY,2022-03-27 18:30:18,8,27.0377,14.4283,70.81,11.88
349,Pedasi,98,PA,2022-03-27 18:34:36,68,7.5333,-80.0333,95.07,14.25
350,Inverell,100,AU,2022-03-27 18:34:37,97,-29.7833,151.1167,64.67,3.0
351,Sao Gabriel Da Cachoeira,100,BR,2022-03-27 18:34:38,94,-0.1303,-67.0892,78.31,2.48
352,Canutama,82,BR,2022-03-27 18:34:38,79,-6.5339,-64.3831,83.14,1.88
353,Lavrentiya,99,RU,2022-03-27 18:34:39,82,65.5833,-171.0,7.81,4.34
354,Valparaiso,0,CL,2022-03-27 18:34:39,59,-33.0393,-71.6273,65.84,13.8
355,Abu Zabad,81,SD,2022-03-27 18:34:40,12,12.35,29.25,77.61,16.02
356,Hokitika,4,NZ,2022-03-27 18:34:40,76,-42.7167,170.9667,56.93,4.38
357,Coruripe,100,BR,2022-03-27 18:34:40,76,-10.1256,-36.1756,81.9,12.66
358,Guerrero Negro,100,MX,2022-03-27 18:34:41,48,27.9769,-114.0611,70.63,9.33
359,Port Blair,20,IN,2022-03-27 18:34:41,94,11.6667,92.75,80.64,2.3
360,Batagay,57,RU,2022-03-27 18:34:42,98,67.6333,134.6333,-13.23,4.54
361,Horizonte,99,BR,2022-03-27 18:33:33,82,-4.1,-38.4833,85.41,6.06
362,Solnechnyy,100,RU,2022-03-27 18:34:42,79,50.7214,136.6319,15.46,8.57
363,Roseburg,100,US,2022-03-27 18:35:43,79,43.2165,-123.3417,57.38,0.0
364,Puerto Escondido,75,MX,2022-03-27 18:35:43,70,15.85,-97.0667,85.03,6.91
365,Tiarei,58,PF,2022-03-27 18:35:44,75,-17.5333,-149.3333,84.22,15.55
366,Longyearbyen,20,SJ,2022-03-27 18:35:44,66,78.2186,15.6401,8.44,11.5
367,Chicama,100,PE,2022-03-27 18:35:45,56,-7.8447,-79.1469,72.14,9.71
368,Talnakh,100,RU,2022-03-27 18:35:45,90,69.4865,88.3972,2.21,4.97
369,Atambua,99,ID,2022-03-27 18:35:45,88,-9.1061,124.8925,72.55,2.04
370,Leshukonskoye,100,RU,2022-03-27 18:35:46,74,64.8989,45.7622,13.15,13.33
371,Karratha,100,AU,2022-03-27 18:35:46,66,-20.7377,116.8463,82.04,8.37
372,Tsiroanomandidy,100,MG,2022-03-27 18:35:47,95,-18.7667,46.0333,69.3,0.63
373,Semey,100,KZ,2022-03-27 18:35:47,98,50.4111,80.2275,33.87,13.87
374,Puerto El Triunfo,46,SV,2022-03-27 18:35:48,45,13.2833,-88.55,94.12,12.06
375,Sao Joao Da Barra,0,BR,2022-03-27 18:35:48,80,-21.6403,-41.0511,89.69,14.83
376,Kotelnikovo,100,RU,2022-03-27 18:35:49,59,47.6317,43.1461,34.3,18.95
377,Dembi Dolo,90,ET,2022-03-27 18:35:49,29,8.5333,34.8,72.18,4.23
378,Tual,100,ID,2022-03-27 18:35:50,79,-5.6667,132.75,80.33,13.4
379,Vilyuysk,100,RU,2022-03-27 18:33:15,99,63.7553,121.6247,6.22,1.07
380,Oyama,96,JP,2022-03-27 18:35:51,79,36.3,139.8,56.59,3.31
381,Constantine,40,DZ,2022-03-27 18:35:51,76,36.365,6.6147,54.81,9.22
382,Dakar,0,SN,2022-03-27 18:32:08,78,14.6937,-17.4441,76.08,13.8
383,Istok,2,XK,2022-03-27 18:35:52,61,42.7808,20.4875,49.37,6.04
384,Puerto Ayacucho,98,VE,2022-03-27 18:35:52,56,5.6639,-67.6236,88.79,7.94
385,Casper,0,US,2022-03-27 18:35:52,37,42.8666,-106.3131,54.19,5.75
386,Samarai,100,PG,2022-03-27 18:35:53,79,-10.6167,150.6667,81.27,5.03
387,Lata,100,PT,2022-03-27 18:35:54,60,40.1629,-8.3327,67.82,8.61
388,Mandera,22,KE,2022-03-27 18:35:54,22,3.9366,41.867,91.2,10.87
389,Mersing,86,MY,2022-03-27 18:35:55,94,2.4312,103.8405,76.91,5.75
390,Bayangol,100,RU,2022-03-27 18:35:55,96,50.6977,103.4656,11.12,4.14
391,Faya,0,SA,2022-03-27 18:35:55,50,18.3851,42.4509,64.51,6.87
392,Killin,0,US,2022-03-27 18:35:56,29,33.6123,-91.7412,64.49,12.66
393,Urazovo,100,RU,2022-03-27 18:35:56,68,50.0836,38.0395,29.23,15.5
394,Namibe,95,AO,2022-03-27 18:35:57,72,-15.1961,12.1522,72.91,16.46
395,Noumea,61,NC,2022-03-27 18:35:57,81,-22.2763,166.4572,69.78,10.49
396,Marshall,0,US,2022-03-27 18:34:38,34,34.3834,-86.3333,59.32,4.0
397,Chokurdakh,88,RU,2022-03-27 18:35:58,100,70.6333,147.9167,-10.97,6.26
398,Katsuura,69,JP,2022-03-27 18:35:58,84,35.1333,140.3,55.78,13.13
399,Baruun-Urt,100,MN,2022-03-27 18:35:59,33,46.6806,113.2792,28.63,5.88
400,Homburg,0,DE,2022-03-27 18:35:59,38,49.3167,7.3333,59.54,5.75
401,Hasaki,100,JP,2022-03-27 18:36:00,69,35.7333,140.8333,50.29,13.47
402,Bokoro,52,TD,2022-03-27 18:36:00,9,12.3807,17.0568,83.23,13.73
403,Narsaq,100,GL,2022-03-27 18:36:01,60,60.9167,-46.05,41.22,10.33
404,Kangaatsiaq,36,GL,2022-03-27 18:36:02,77,68.3065,-53.4641,20.82,11.79
405,Channel-Port Aux Basques,100,CA,2022-03-27 18:36:02,99,47.5702,-59.1367,35.76,14.36
406,Juba,95,SS,2022-03-27 18:36:03,64,4.8517,31.5825,80.92,10.87
407,Westport,100,US,2022-03-27 18:34:33,49,41.1415,-73.3579,47.75,17.27
408,Dayong,100,CN,2022-03-27 18:36:04,75,25.0209,118.2898,57.69,3.96
409,Kawalu,100,ID,2022-03-27 18:36:04,98,-7.3817,108.2082,72.43,1.52
410,Semnan,0,IR,2022-03-27 18:37:05,27,35.5729,53.3971,50.81,5.01
411,Makat,100,KZ,2022-03-27 18:37:05,74,47.6469,53.3463,42.06,21.07
412,Gevrai,5,IN,2022-03-27 18:37:06,18,19.2667,75.75,88.99,7.81
413,Uaua,100,BR,2022-03-27 18:37:07,47,-9.8414,-39.4817,86.22,12.91
414,Porto Velho,75,BR,2022-03-27 18:32:41,66,-8.7619,-63.9039,86.05,3.44
415,Manbij,0,SY,2022-03-27 18:34:01,47,36.5281,37.9549,45.09,10.76
416,Fort Collins,0,US,2022-03-27 18:35:00,43,40.5853,-105.0844,73.24,3.44
417,Wanning,100,CN,2022-03-27 18:37:10,95,18.8003,110.3967,71.87,9.19
418,Washington,100,US,2022-03-27 18:37:10,54,47.5001,-120.5015,58.57,2.82
419,Tabuk,10,PH,2022-03-27 18:37:11,87,17.4189,121.4443,73.18,2.55
420,Suntar,96,RU,2022-03-27 18:37:11,100,62.1444,117.6319,-2.38,2.26
421,Shieli,5,KZ,2022-03-27 18:37:12,60,44.1667,66.75,40.17,4.27
422,Bachaquero,100,VE,2022-03-27 18:37:12,69,9.9694,-71.1494,85.37,8.63
423,Lundazi,24,ZM,2022-03-27 18:37:13,92,-12.2929,33.1782,65.3,5.77
424,Mega,5,ET,2022-03-27 18:37:13,63,4.05,38.3,65.35,5.55
425,Palmas,40,BR,2022-03-27 18:37:14,58,-10.2128,-48.3603,89.47,4.61
426,Tokur,100,RU,2022-03-27 18:37:14,98,53.1333,132.9,0.05,1.68
427,Havre-Saint-Pierre,100,CA,2022-03-27 18:37:15,93,50.2334,-63.5986,34.16,25.32
428,Ust-Koksa,100,RU,2022-03-27 18:37:15,97,50.2696,85.6108,27.82,1.86
429,Aasiaat,51,GL,2022-03-27 18:37:16,76,68.7098,-52.8699,21.58,11.97
