City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
105,Broken Hill,0,AU,2022-03-25 02:45:16,40,-31.95,141.4333,69.51,12.66
106,Northam,2,GB,2022-03-25 02:45:16,77,51.0333,-4.2167,45.39,4.0
107,Vardo,100,NO,2022-03-25 02:45:17,80,70.3705,31.1107,27.99,41.45
108,Lac-Megantic,100,CA,2022-03-25 02:45:17,97,45.5834,-70.8823,32.56,7.99
109,Emerald,19,AU,2022-03-25 02:45:18,37,-23.5333,148.1667,88.34,5.75
110,Ilulissat,100,GL,2022-03-25 02:45:18,45,69.2167,-51.1,21.22,5.75
111,Mar Del Plata,100,AR,2022-03-25 02:45:19,81,-38.0023,-57.5575,61.09,5.01
112,Lixourion,0,GR,2022-03-25 02:45:19,76,38.2019,20.4314,54.61,10.4
113,Laguna,0,US,2022-03-25 02:42:21,37,38.421,-121.4238,75.34,8.05
114,Seddon,100,AU,2022-03-25 02:45:20,64,-37.8068,144.8916,73.67,14.97
115,Gondar,0,ET,2022-03-25 02:45:20,29,12.6,37.4667,61.11,4.79
116,Jijiga,20,ET,2022-03-25 02:45:21,81,9.35,42.8,63.95,6.31
117,Praia Da Vitoria,75,PT,2022-03-25 02:41:46,94,38.7333,-27.0667,60.76,23.76
118,Henties Bay,1,NA,2022-03-25 02:41:47,89,-22.116,14.2845,63.95,3.96
119,Port Blair,80,IN,2022-03-25 02:40:25,64,11.6667,92.75,84.29,1.99
120,Maragogi,83,BR,2022-03-25 02:45:22,81,-9.0122,-35.2225,77.65,1.83
121,Gornopravdinsk,100,RU,2022-03-25 02:45:22,97,60.05,69.9,31.55,14.43
122,Mahebourg,40,MU,2022-03-25 02:45:23,83,-20.4081,57.7,79.09,3.44
123,Krasnoarmeysk,4,RU,2022-03-25 02:45:23,86,51.0239,45.6969,17.67,4.52
124,Severo-Kurilsk,75,RU,2022-03-25 02:45:24,66,50.6789,156.125,30.24,10.96
125,New Norfolk,53,AU,2022-03-25 02:45:24,44,-42.7826,147.0587,72.72,4.0
126,Dikson,87,RU,2022-03-25 02:45:24,89,73.5069,80.5464,10.26,15.19
127,Yenagoa,86,NG,2022-03-25 02:43:13,94,4.9247,6.2642,77.9,3.49
128,Ndele,51,CF,2022-03-25 02:45:25,62,8.4109,20.6473,75.38,2.82
129,Dauphin,100,CA,2022-03-25 02:45:26,80,51.1494,-100.0502,33.94,20.71
130,Bourges,1,FR,2022-03-25 02:41:54,77,47.25,2.4167,42.39,6.26
131,Wick,27,GB,2022-03-25 02:45:26,87,58.4333,-3.0833,42.85,4.61
132,Amahai,80,ID,2022-03-25 02:45:27,60,-3.3333,128.9167,86.85,4.36
133,Jiuquan,100,CN,2022-03-25 02:45:27,38,39.7432,98.5174,38.53,4.63
134,Bandarbeyla,50,SO,2022-03-25 02:45:27,72,9.4942,50.8122,76.33,6.58
135,Leningradskiy,86,RU,2022-03-25 02:45:28,96,69.3833,178.4167,-6.68,9.86
136,Touros,94,BR,2022-03-25 02:45:52,87,-5.1989,-35.4608,77.85,7.29
137,Alyangula,75,AU,2022-03-25 02:46:29,58,-13.8483,136.4192,84.07,14.97
138,Candolim,88,IN,2022-03-25 02:46:29,75,15.5181,73.7626,82.36,3.2
139,Grand Gaube,10,MU,2022-03-25 02:46:29,85,-20.0064,57.6608,79.2,1.99
140,Zaraza,96,VE,2022-03-25 02:46:30,75,9.3503,-65.3245,78.33,7.65
141,Grindavik,100,IS,2022-03-25 02:43:11,87,63.8424,-22.4338,36.07,17.27
142,Kenai,100,US,2022-03-25 02:46:30,59,60.5544,-151.2583,40.03,28.77
143,Lompoc,75,US,2022-03-25 02:46:31,91,34.6391,-120.4579,66.78,8.05
144,Sabha,0,LY,2022-03-25 02:46:31,32,27.0377,14.4283,51.03,11.81
145,Buchanan,28,LR,2022-03-25 02:46:32,88,5.8808,-10.0467,78.66,3.31
146,Port-Gentil,95,GA,2022-03-25 02:46:32,80,-0.7193,8.7815,80.87,7.4
147,Stromness,26,GB,2022-03-25 02:46:33,82,58.965,-3.296,48.87,11.99
148,Shaoxing,96,CN,2022-03-25 02:46:33,84,30.011,120.5715,64.35,9.28
149,Ouallam,55,NE,2022-03-25 02:46:33,14,14.3188,2.0866,87.24,9.22
150,Kathu,67,TH,2022-03-25 02:46:34,90,7.9178,98.3332,85.69,7.16
151,Opuwo,30,NA,2022-03-25 02:44:09,84,-18.0607,13.84,64.36,2.15
152,Gwadar,0,PK,2022-03-25 02:46:35,48,25.1216,62.3254,80.46,3.11
153,Vallenar,0,CL,2022-03-25 02:46:35,59,-28.5708,-70.7581,67.08,2.55
154,Dubti,11,ET,2022-03-25 02:46:36,67,11.7361,41.0853,77.52,11.63
155,Chicama,89,PE,2022-03-25 02:46:36,72,-7.8447,-79.1469,66.74,5.61
156,Oktyabrskiy,100,RU,2022-03-25 02:46:36,85,54.4815,53.471,31.75,10.09
157,Codrington,20,AU,2022-03-25 02:46:37,49,-38.2667,141.9667,67.69,10.38
158,Iqaluit,75,CA,2022-03-25 02:46:37,71,63.7506,-68.5145,8.33,4.61
159,Tuatapere,15,NZ,2022-03-25 02:46:38,61,-46.1333,167.6833,64.56,6.15
160,Trelew,0,AR,2022-03-25 02:46:38,69,-43.249,-65.3051,56.19,5.57
161,Mumford,94,GH,2022-03-25 02:46:39,86,5.2618,-0.759,80.13,7.83
